datum; celkovy cas; aktualny_cas
2022-10-05T01:35Z;07:46;00:02
2022-10-05T01:35Z;07:48;00:01
2022-10-05T01:35Z;07:50;00:01
2022-10-05T01:35Z;07:52;00:01
2022-10-05T01:35Z;07:54;00:02
2022-10-05T01:35Z;07:56;00:01
2022-10-05T01:35Z;07:58;00:01
2022-10-05T01:35Z;08:00;00:01
2022-10-05T01:35Z;08:02;00:02
2022-10-05T01:35Z;08:04;00:01
2022-10-05T01:36Z;08:06;00:01
2022-10-05T01:36Z;08:08;00:01
2022-10-05T01:36Z;08:10;00:01
2022-10-05T01:36Z;08:12;00:01
2022-10-05T01:36Z;08:14;00:01
2022-10-05T01:36Z;08:16;00:01
2022-10-05T01:36Z;08:18;00:01
2022-10-05T01:36Z;08:20;00:01
2022-10-05T01:36Z;08:22;00:01
2022-10-05T01:36Z;08:24;00:01
2022-10-05T01:36Z;08:26;00:02
2022-10-05T01:36Z;08:28;00:01
2022-10-05T01:36Z;08:30;00:01
2022-10-05T01:36Z;08:32;00:01
2022-10-05T01:36Z;08:34;00:01
2022-10-05T01:36Z;08:36;00:02
2022-10-05T01:36Z;08:38;00:01
2022-10-05T01:36Z;08:40;00:02
2022-10-05T01:36Z;08:42;00:02
2022-10-05T01:36Z;08:44;00:01
2022-10-05T01:36Z;08:46;00:01
2022-10-05T01:36Z;08:49;00:03
2022-10-05T01:36Z;08:51;00:01
2022-10-05T01:36Z;08:54;00:02
2022-10-05T01:36Z;08:56;00:01
2022-10-05T01:36Z;08:58;00:01
2022-10-05T01:36Z;09:00;00:02
2022-10-05T01:36Z;09:02;00:01
2022-10-05T01:36Z;09:04;00:01
2022-10-05T01:37Z;09:06;00:02
2022-10-05T01:37Z;09:08;00:01
2022-10-05T01:37Z;09:10;00:01
2022-10-05T01:37Z;09:12;00:02
2022-10-05T01:37Z;09:14;00:01
2022-10-05T01:37Z;09:16;00:01
2022-10-05T01:37Z;09:18;00:01
2022-10-05T01:37Z;09:20;00:01
2022-10-05T01:37Z;09:22;00:01
2022-10-05T01:37Z;09:24;00:01
2022-10-05T01:37Z;09:26;00:01
2022-10-05T01:37Z;09:28;00:01
2022-10-05T01:37Z;09:30;00:01
2022-10-05T01:37Z;09:32;00:01
2022-10-05T01:37Z;09:34;00:01
2022-10-05T01:37Z;09:36;00:01
2022-10-05T01:37Z;09:38;00:01
2022-10-05T01:37Z;09:40;00:02
2022-10-05T01:37Z;09:42;00:02
2022-10-05T01:37Z;09:44;00:01
2022-10-05T01:37Z;09:46;00:01
2022-10-05T01:37Z;09:48;00:01
2022-10-05T01:37Z;09:50;00:02
2022-10-05T01:37Z;09:52;00:01
2022-10-05T01:37Z;09:54;00:01
2022-10-05T01:37Z;09:56;00:01
2022-10-05T01:37Z;09:58;00:01
2022-10-05T01:37Z;10:00;00:01
2022-10-05T01:37Z;10:02;00:01
2022-10-05T01:37Z;10:03;00:01
2022-10-05T01:38Z;10:06;00:01
2022-10-05T01:38Z;10:08;00:01
2022-10-05T01:38Z;10:09;00:01
2022-10-05T01:38Z;10:11;00:01
2022-10-05T01:38Z;10:13;00:01
2022-10-05T01:38Z;10:15;00:01
2022-10-05T01:38Z;10:17;00:01
2022-10-05T01:38Z;10:19;00:01
2022-10-05T01:38Z;10:21;00:01
2022-10-05T01:38Z;10:23;00:01
2022-10-05T01:38Z;10:25;00:01
2022-10-05T01:38Z;10:27;00:01
2022-10-05T01:38Z;10:29;00:01
2022-10-05T01:38Z;10:31;00:01
2022-10-05T01:38Z;10:33;00:01
2022-10-05T01:38Z;10:35;00:01
2022-10-05T01:38Z;10:37;00:01
2022-10-05T01:38Z;10:39;00:01
2022-10-05T01:38Z;10:41;00:01
2022-10-05T01:38Z;10:43;00:01
2022-10-05T01:38Z;10:45;00:01
2022-10-05T01:38Z;10:47;00:02
2022-10-05T01:38Z;10:49;00:01
2022-10-05T01:38Z;10:51;00:02
2022-10-05T01:38Z;10:54;00:02
2022-10-05T01:38Z;10:56;00:01
2022-10-05T01:38Z;10:57;00:01
2022-10-05T01:38Z;10:59;00:01
2022-10-05T01:38Z;11:01;00:01
2022-10-05T01:38Z;11:03;00:01
2022-10-05T01:39Z;11:05;00:01
2022-10-05T01:39Z;11:07;00:01
2022-10-05T01:39Z;11:09;00:01
2022-10-05T01:39Z;11:11;00:01
2022-10-05T01:39Z;11:13;00:01
2022-10-05T01:39Z;11:15;00:01
2022-10-05T01:39Z;11:17;00:01
2022-10-05T01:39Z;11:19;00:01
2022-10-05T01:39Z;11:21;00:01
2022-10-05T01:39Z;11:23;00:01
2022-10-05T01:39Z;11:25;00:01
2022-10-05T01:39Z;11:27;00:01
2022-10-05T01:39Z;11:29;00:01
2022-10-05T01:39Z;11:31;00:01
2022-10-05T01:39Z;11:33;00:01
2022-10-05T01:39Z;11:35;00:01
2022-10-05T01:39Z;11:36;00:01
2022-10-05T01:39Z;11:38;00:01
2022-10-05T01:39Z;11:40;00:01
2022-10-05T01:39Z;11:42;00:01
2022-10-05T01:39Z;11:44;00:01
2022-10-05T01:39Z;11:46;00:01
2022-10-05T01:39Z;11:48;00:01
2022-10-05T01:39Z;11:50;00:01
2022-10-05T01:39Z;11:52;00:01
2022-10-05T01:39Z;11:54;00:01
2022-10-05T01:39Z;11:56;00:01
2022-10-05T01:39Z;11:58;00:01
